# This file contains all data for the mysql table named Cronometer_Food_Mapping
#
#+----------------------+--------------+------+-----+---------+----------------+
#| Field                | Type         | Null | Key | Default | Extra          |
#+----------------------+--------------+------+-----+---------+----------------+
#| cronometer_food_id   | int unsigned | NO   | PRI | NULL    | auto_increment |
#| cronometer_food_name | varchar(100) | NO   |     | NULL    |                |
#| food_id              | int unsigned | NO   | MUL | NULL    |                |
#+----------------------+--------------+------+-----+---------+----------------+
#
# It is used to initialize the Cronometer food mapping data (567 cronometer foods mapped to 93 foods sourced from clark-food and poores-food)
# | used as delimiter as commas are common in cronometer food names
# food_id is the a foreign key to Food
# food_name is not an actual column, just for clarity
# format: cronometer_food_name|food_id|food_name
Mushrooms, Cooked from Fresh|691|Mushrooms
Mushrooms, Raw|691|Mushrooms
Mushrooms, Dried|691|Mushrooms
Oat milk|692|Oat milk
Rolled Oats, dry|693|Oats
Oats, Dry|693|Oats
Oats, Raw, Dry|693|Oats
Oatmeal, Regular or Quick, Dry|693|Oats
Olive Oil|694|Olive oil
Oil, Olive, Salad or Cooking|694|Olive oil
Onion, White, Yellow or Red, Cooked|695|Onions
Onion, White, Yellow or Red, Raw|695|Onions
Orange Juice, Fresh|696|Orange juice
Orange Juice, Not Fortified|696|Orange juice
Orange Juice Beverage|696|Orange juice
Oranges, Raw|697|Oranges
Pasta, Dry, Unenriched|698|Pasta
Pasta, Whole-Wheat, Dry|698|Pasta
Pasta, Dry, Enriched|698|Pasta
Peanut Butter, Salted|699|Peanut butter
Peanut Butter, Natural, Unsalted|699|Peanut butter
Peanut Butter, Natural, Salted|699|Peanut butter
Peanut Butter, Unsalted|699|Peanut butter
Peanuts, Raw|700|Peanuts
Peanuts, Dry Roasted, Salted|700|Peanuts
Peanuts, Dry Roasted, Unsalted|700|Peanuts
Peanuts, Dry Roasted, Lightly Salted|700|Peanuts
Peanuts, Oil Roasted, Lightly Salted|700|Peanuts
Pear, Raw|701|Pears
Pear, Canned in Juice|701|Pears
Peas, Green, Frozen, Cooked, Boiled, Drained, Without Salt|702|Peas
Green Peas, Raw|702|Peas
Green Peas, Canned, Drained|702|Peas
Snow Peas, Edible Pea Pods, Raw|702|Peas
Green Peas, Cooked from Fresh|702|Peas
